airtable_record_id,webflow_item_id,current_slug,name
recAHrdM5ul2vvzmh,6a3cc9c178df4d70d2d21245,mira-logo-strap-tulip-dress-black,Mira Logo Strap Tulip Dress - Black
recAHvAJpHNOSHxEr,6a4cb8c0f308076f02366228,delany-embellished-denim-shirt,Delany Embellished Denim Shirt                      
recAI3zcE1qNeFGja,6a4cb8c314d9bac4b054e964,moderna-midi-dress-ivory,Moderna Midi Dress - Ivory
recAI917wjuAeF6eo,6a201b5d9d5f191738f43ce2,surrealist-summer-midi-silk-dress,Surrealist Summer Midi Silk Dress
recAKQrupx1HArYUk,6a201b5f3d5e547bb2642c3e,misha-maxi-dress-pink-collage-floral,Misha Maxi Dress - Pink Collage Floral
recAKgtlkGs1aViZU,6a439ddcee01fe233ae616e2,ream-braided-crop-top-ballet-pink,Ream Braided Crop Top - Ballet Pink
recAM1S4FcQKyfXzE,6a4cb8cab911575afc04c275,akoya-mini-skirt-black,Akoya Mini Skirt - Black
recANlgzettutUg6g,6a201b636b225072c71dc78e,blue-marlin-embroidered-dress,Blue Marlin Embroidered Dress
recANlum3zYT7iOwz,6a4cb8d0bf6b1471ff623781,arabella-jumpsuit,Arabella Jumpsuit
recAP08lbTmdK4bOJ,6a31410ed4c62cc073599201,gracious-pant-fuchsia,Gracious Pant - Fuchsia
recAQESeNF7Ll9wNq,6a201b663d5e547bb26431b1,capucine-puff-sleeve-midi-dress-bon-bon-pink,Capucine Puff Sleeve Midi Dress - Bon Bon Pink
recAQpQTTb2rnAmK1,6a4cb8d5cb23e3d33aa0e20b,celeste-kids-tee-whitepink,Celeste Kids Tee - Whitepink
recARSEifeFpXoBQ7,6a201b6afc6ea43fbc0c144b,marta-shirt,Marta Shirt
recASDpnZAgJlWaGg,6a4cb8d9c68ca3186e60fe02,daze-mini-dress-light-plume,Daze Mini Dress - Light Plume
recATCCIUvC9OMkdF,6a201b6c847c9fcb92805969,lina-knit-pink,Lina Knit - Pink
recATqrlWsfzs0tAv,6a4cb8e316371dc4aa8ae627,atley-shell-logo-cropped-tee-blackgold,Atley Shell Logo Cropped Tee - Blackgold
recAUJwgmIgUoDHTt,6a4cb8e7da68e7f89a602447,celeste-utility-mini-dress-pastel-pink,Celeste Utility Mini Dress - Pastel Pink
recAUozegCg2ZlL2w,6a4cb8e95d899b065cf96f0a,birdie-mini-dress,Birdie Mini Dress
recAX6vCczy7gifFq,6a4cb8eb5fd3380166c83d75,inez-skirt,Inez Skirt
recAY4wkwU1U80o4e,6a29f9756ad11b11ff13c406,tinley-wrap-front-midi-dress-misty-rose,Tinley Wrap Front Midi Dress - Misty Rose
recAajkjymecVTXYf,6a4cb8f09918a0ec60279497,maia-cut-out-mini-dress,Maia Cut Out Mini Dress
recAaqLFRXwGbZBZi,6a201b71438c20b97b59b336,bath-house-trench,Bath House Trench
recAcLLrEJjyOfd3r,6a201b753d5e547bb2643c37,elsie-pleat-mini-dress-black,Elsie Pleat Mini Dress - Black
recAcglxwC3QUHeIc,6a4cb8f66fcebb431f1e316c,eden-one-shoulder-top-dusty-pink,Eden One Shoulder Top - Dusty Pink
recAcnytYxmcMNYsf,6a201b771d9038ff2b56bd5f,clarice-draped-maxi-dress-sunset-orange,Clarice Draped Maxi Dress - Sunset Orange
recAe5BPzu57egRUb,6a3c68246ea8c0dba9b852b6,birdie-shirtdress,Birdie Shirtdress
recAf0nqjg1P7XZl9,6a201b7963e5c726b6fd4513,lemonis-jacquard-midi-dress,Lemonis Jacquard Midi Dress
recAfNAPffPLN2qdz,6a4cb90087059472440f6945,ondine-wrap-midi-dress,Ondine Wrap Midi Dress
recAgX06j02n7BTy1,6a4cb905bec02db17f1efab3,harmony-sheer-trench-coat-sand-brown,Harmony Sheer Trench Coat - Sand Brown
recAgXnAaGJqhmGCk,6a4cb90716371dc4aa8afab0,alfie-ruched-top,Alfie Ruched Top
recAi4TZFcs5brHkn,6a201b7a1d9038ff2b56be33,romantica-short-floral-haze,Romantica Short - Floral Haze
recAi6j7hr43fdeuW,6a4cb90d8baefc5c5df994ad,marjorelle-shirt,Marjorelle Shirt
recAjnoq9dO3b5utP,6a201b7c438c20b97b59bbf0,rainer-denim-midi-dress-mid-wash-blue,Rainer Denim Midi Dress - Mid Wash Blue
recAjvE4yx0w8FzSp,6a4cb9118baefc5c5df995f1,mystic-lace-blazer-chocolate,Mystic Lace Blazer - Chocolate
recAk4tEj28lTRB5L,6a4cb91333387d636548725d,rider-pleat-sleeve-midi-dress,Rider Pleat Sleeve Midi Dress
recAlfqnYE29Kw7Y4,6a4cb91616371dc4aa8b06af,siren-midi-dress-blue-bell,Siren Midi Dress - Blue Bell
recAlxKbNCJxf2znn,6a4879ab19ee91cdbb07d99f,esprit-embroidered-mini-skirt-ivory-blue,Esprit Embroidered Mini Skirt - Ivory-Blue
recAnb5K6MXNPrigJ,6a42da2d15ad5747d8018085,metis-logo-knit-jumper-ballet-pink,Metis Logo Knit Jumper - Ballet Pink
recAnyv8kP8itB4VU,6a4cb91fb911575afc04fadf,reborn-ladder-trim-midi-dress-ivory,Reborn Ladder Trim Midi Dress - Ivory
recAo7lFSa13Bd42t,6a439df6cfa27a25b7da7583,holland-denim-vest-coastal-wash,Holland Denim Vest - Coastal Wash
recAppQQFwc5hv4G8,6a201b7dfc6ea43fbc0c23e5,avery-shirtdress,Avery Shirtdress
recArUKPDsAZKkPZz,6a4cb9288baefc5c5df99aec,gabriel-tie-side-shirt,Gabriel Tie Side Shirt
recAsTr2KiMmapP9Y,6a201b82fc6ea43fbc0c280a,cira-midi-dress-fresh-flora,Cira Midi Dress - Fresh Flora
recAscM5WK27qFvQL,6a4cb92e5d899b065cf998a3,hybrid-sleeveless-mini-dress-fuchsia-rose,Hybrid Sleeveless Mini Dress - Fuchsia Rose
recAu5j55HJSBCjdj,6a201b8579dbf106bfa2f819,kindred-frill-sleeve-midi-dress-ivory,Kindred Frill Sleeve Midi Dress - Ivory
recAv0kkPyhyPQYjm,6a42da33be20a56326e2d626,orange-blossom-spliced-mini-dress,Orange Blossom Spliced Mini Dress                      
recAvWBupJtfyerRj,6a439e027966963f07eb9144,anders-trench-pecan,Anders Trench - Pecan
recAwYKsr92t38FsG,6a4cb9385d899b065cf9a0bb,aje-signature-studs-gold,Aje Signature Studs - Gold
recAwbIXFBcmWhFjo,6a4cb93cbf6b1471ff62861d,fredo-cardigan,Fredo Cardigan
recAxmkHHhFlRpiOq,6a4cb93fc68ca3186e614a52,soleil-damour-tapered-silk-pant,Soleil D'Amour Tapered Silk Pant                      
recAzHvyrrqHCJvME,6a4cb9411ab7ebafe7458702,suri-knit-midi-dress-chocolate,Suri Knit Midi Dress - Chocolate
recB1xQPO5wux7O6M,6a4cb944f954cd33b204e6b9,atomic-scarf-top-postcard,Atomic Scarf Top - Postcard
recB2De1OupJbOcI6,6a4cb947c8747c691e5aeabb,piper-mini-skirt-charcoal,Piper Mini Skirt - Charcoal
recB2ERY8MdqLGoaE,6a445518fa76f23fe66996c3,sirocco-embroidered-short,Sirocco Embroidered Short                      
recB2rrXNkHD1r9YV,6a4cb94d9918a0ec6027cea3,sun-dancer-clutch,Sun Dancer Clutch
recB3FAhDcNh1DYcO,6a4cb94f8e0ca723dcda4361,ava-logo-tee-french-navy-gold,Ava Logo Tee - French Navy Gold
recB4g3Ud4wOyqBwq,6a201b87847c9fcb9280676d,flash-tie-neck-midi-dress,Flash Tie Neck Midi Dress
recB5Lkfdf8Irvqmm,6a201b889280a99567e3b93a,speedy-denim-mini-dress,Speedy Denim Mini Dress
recB5bkzEAqk6eUvz,6a4cb9575d899b065cf9b533,rue-rib-knit-chocolate-gold,Rue Rib Knit - Chocolate Gold
recB5dPk1NqVi3Qhy,6a4cb95bb911575afc053b16,quintette-textured-midi-skirt-ivory,Quintette Textured Midi Skirt - Ivory  
recB6E81NXkeDafBZ,6a4cb96087059472440f7b76,alfie-top,Alfie Top
recB7IPa9PK0Lv5zn,6a4cb963c8747c691e5af683,priscilla-sculpt-midi-dress,Priscilla Sculpt Midi Dress
recB8y7eURw4Q1OL5,6a44f2cbfb5130d667d5bd8c,cascade-midi-skirt-ivory,Cascade Midi Skirt - Ivory
recB9CduP4Qb6wbdl,6a4cb968da68e7f89a60889d,rylan-extra-wide-leg-jean-ivory,Rylan Extra Wide Leg Jean - Ivory
recBAWs7TyPlZ0lyT,6a4cb96ab344c73c4eec741d,twyla-mini-dress-black,Twyla Mini Dress - Black
recBBjkVkRBEhD15O,6a43c3dc70d42754a404d871,rebellion-hardware-pant-coffee,Rebellion Hardware Pant - Coffee
recBCp1UvIkpELMkv,6a201b8a53e093d27387602f,etta-midi-dress-pastel-pink,Etta Midi Dress - Pastel Pink
recBDCwcyPQB1Bnu5,6a4cb96f87059472440f8044,base-mini-dress-bright-cobalt,Base Mini Dress - Bright Cobalt
recBDQ1fwMYUk27xB,6a4cb9728e0ca723dcda596c,acacia-short,Acacia Short
recBDqvfKxD99dXcZ,6a4cb9758e0ca723dcda5b14,alessia-flower-clutch-champagne-gold,Alessia Flower Clutch - Champagne Gold
recBE1zftBtNvLtv0,6a4cb977b911575afc054fa7,liliana-denim-shirt-ivory,Liliana Denim Shirt - Ivory
recBFMdzgPUvwGmDV,6a4cb97bf954cd33b2050b58,blues-denim-shirt-dress-80s-blue-wash,Blues Denim Shirt Dress - 80s Blue Wash
recBG4tBEbLYg3vKQ,6a201b8c378c869e5e223f14,ira-twist-front-shirtdress,Ira Twist Front Shirtdress
recBGERbX9nKRKKAN,6a4cb980bf6b1471ff62b1fc,aeriel-bib-front-maxi-dress-ivory,Aeriel Bib Front Maxi Dress - Ivory
recBGQj9bPJlFZ28K,6a4cb983bf6b1471ff62b415,elvira-oversized-linen-tee-blush-pink,Elvira Oversized Linen Tee - Blush Pink
recBIPTFQ8Q13oSvH,6a4cb9869918a0ec6027f280,casa-puff-sleeve-mini-dress-ice-blue,Casa Puff Sleeve Mini Dress - Ice Blue
recBIPjFuBPNRiuaZ,6a201b8d0d4856c12ad02f0c,etta-mini-dress-black,Etta Mini Dress - Black
recBIkBwcFFIa4MV4,6a4cb98ac19dfb27fd693410,rue-rib-knit-terracotta,Rue Rib Knit - Terracotta
recBIwuLYgyAzk758,6a4cb98d5d899b065cf9d8bf,sail-away-pant,Sail Away Pant
recBJ30QZ1QdWElJx,6a4cb98f79eb66afe45ec4eb,jet-short,Jet Short
recBKftpHknIL2rhL,6a201b8f59a825554857baf2,casabianca-sleeveless-braided-tier-dress-fuchsia,Casabianca Sleeveless Braided Tier Dress - Fuchsia
recBKsEBjs56v4RcM,6a201b90c27fca181b9f3efc,margot-braided-logo-jumper-lilac,Margot Braided Logo Jumper - Lilac
recBLKGYXDLLWGtPA,6a4cb9966fcebb431f1e78c4,stevie-barrel-ankle-jean-indigo-wash,Stevie Barrel Ankle Jean - Indigo Wash
recBMnjlJq9fpzlLI,6a201b91378c869e5e223fef,cleo-smock-mini-dress,Cleo Smock Mini Dress
recBMy9kON4iEH5gN,6a4cb99b549d7ebdad72e9bb,renee-fluffy-cardigan-stone-rose,Renee Fluffy Cardigan - Stone Rose
recBNSHnfX2Xcu89r,6a4cb99df308076f0236ebaa,mason-mini-dress-beach-beige,Mason Mini Dress - Beach Beige
recBOfCEapZx3fBsX,6a31412a2a2eb921e156404f,whimsical-plunge-top-falling-florals,Whimsical Plunge Top - Falling Florals
recBOvZa9fjrWmo3r,6a39351ea77572495e13033c,charlotte-tiered-maxi-dress-navy-vine,Charlotte Tiered Maxi Dress - Navy Vine
recBQ4iCZ5e6zcStu,6a201b939319f797aecbf1f3,francis-bubble-crop-top,Francis Bubble Crop Top
recBQMJvLD6ABpDL8,6a4cb9a5c19dfb27fd6943e5,cowrie-scoop-tank-cherry,Cowrie Scoop Tank - Cherry
recBQd8sPOZ4eQXDx,6a4cb9a7c6bb0833b70c6960,deia-off-shoulder-long-sleeve-top-black,Deia Off Shoulder Long Sleeve Top - Black
recBQhdYEL3cZOaEP,6a4cb9aa3168036b504862fa,astra-pant,Astra Pant
recBRBbKD52npZakR,6a4cb9ad16371dc4aa8b5c79,brigitte-logo-knit-jumper-black,Brigitte Logo Knit Jumper - Black
recBRxnVeVd4LPqPE,6a42da425619536dfa832198,winnie-one-shoulder-midi-dress,Winnie One Shoulder Midi Dress
